Estados NFA;Estado DFA;_;P;a;b;c;d;e;f;g;h;i;k;l;m;n;o;p;r;s;t;u;v;w;x;y;z
->{q0};q0;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q137};q1;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0,q138};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q138};q2;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61,q139};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q61,q139};q3;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50,q62};{q0,q57};{q0};{q0,q61};{q0};{q0,q65,q140};{q0};{q0,q63};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q63};q4;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q64,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
*{q0,q64,q109};q5;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0,q110};{q0}
{q0,q110};q6;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0,q111};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q111};q7;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38,q112};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
{q0,q38,q112};q8;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21,q113};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q39,q65};{q0};{q0,q42};{q0};{q0};{q0,q69};{q0,q81};{q0,q109};{q0,q116};{q0,q127};{q0,q137};{q0,q45};{q0};{q0}
{q0,q45};q9;{q0,q142};{q0};{q0,q1};{q0,q5};{q0,q10};{q0,q21};{q0,q38};{q0,q50};{q0,q57};{q0};{q0,q61};{q0};{q0,q65};{q0};{q0};{q0};{q0};{q0,q69};{q0,q81};{q0,q46,q109};{q0,q116};{q0,q127};{q0,q137};{q0};{q0};{q0}
